Average_Hours_Worked_Per_Week,Monthly_Income,Hourly_Rate,Distance_From_Home,Promotion_gap,Absenteeism,Number_of_Companies_Worked,Job_Level,Years_in_Current_Role,Years_Since_Last_Promotion,Years_at_Company,Workload_index,Project_Count,Work_Life_Balance,Job_Satisfaction,Work_Environment_Satisfaction,Relationship_with_Manager,Total_Satisfaction_Score
38,5532,28,13,0.25,12,3,5,2,6,23,3,6,2,1,1,1,3
32,17009,51,17,0.5,4,3,1,3,5,9,0,2,4,3,1,4,8
31,4741,66,38,0.36,14,3,5,5,9,24,0,4,3,3,3,3,9
54,12433,56,5,0.0,7,1,3,11,0,21,3,9,2,5,2,3,10
33,15701,34,15,0.4444444444444444,18,4,2,3,4,8,4,3,1,1,4,1,6
58,10003,46,49,0.06666666666666667,15,4,1,7,1,14,0,7,4,4,2,1,7
46,8603,85,2,0.09090909090909091,18,1,3,1,1,10,1,9,4,2,3,4,9
33,15998,96,7,0.42857142857142855,2,4,3,13,3,6,1,4,4,3,3,4,10
44,12077,42,44,0.25,1,3,5,5,3,11,3,9,2,2,1,1,4
42,13982,72,49,0.5833333333333334,16,4,5,3,7,11,1,6,4,1,3,4,8
48,7932,52,48,1.0,0,2,2,1,6,5,2,6,3,3,4,4,11
53,9276,22,35,1.0,14,1,4,2,3,2,0,3,2,2,2,3,7
37,13023,35,45,0.75,15,2,3,1,3,3,4,5,1,4,2,2,8
37,5389,76,28,0.07142857142857142,9,4,5,3,1,13,0,3,2,1,3,3,7
45,18231,38,35,1.1666666666666667,9,3,3,3,7,5,3,2,2,2,4,1,7
50,7512,34,7,0.2,10,2,2,7,6,29,4,7,1,2,4,2,8
49,9169,30,22,0.09090909090909091,17,2,5,6,2,21,4,5,1,2,1,3,6
43,14324,91,15,1.0,9,2,1,9,5,4,0,8,1,2,2,3,7
49,9383,33,35,0.2,0,1,1,13,5,24,3,7,2,5,2,3,10
43,6519,15,28,0.0,6,2,4,9,0,6,0,9,3,3,1,4,8
36,19542,57,34,0.2,12,4,3,13,1,4,0,5,4,2,1,3,6
58,3328,68,5,0.041666666666666664,18,4,4,10,1,23,0,3,4,3,3,4,10
45,15969,87,33,1.4,11,1,3,2,7,4,0,9,4,3,3,1,7
30,14039,93,30,0.07692307692307693,8,3,4,7,1,12,2,2,3,3,3,4,10
37,11636,65,14,0.2,5,4,2,6,1,4,0,6,2,1,4,4,9
47,17582,41,43,0.16666666666666666,11,2,5,3,3,17,4,2,1,3,4,3,10
59,12537,89,10,0.75,3,3,4,14,6,7,0,4,4,3,1,2,6
49,4212,38,29,2.3333333333333335,10,2,2,11,7,2,3,3,2,1,4,4,9
42,12609,79,19,0.375,1,2,3,14,9,23,0,4,1,2,4,4,10
53,17361,65,45,0.0,3,1,2,2,0,9,0,4,4,2,1,4,7
46,6467,86,26,0.5,17,4,1,1,2,3,0,8,1,3,4,4,11
43,4461,15,40,0.4090909090909091,11,1,5,5,9,21,0,8,2,3,1,4,8
43,7082,51,10,0.125,12,3,3,13,1,7,0,5,4,3,4,2,9
48,11054,44,43,0.0625,17,1,4,7,1,15,0,7,2,4,3,2,9
53,5312,27,4,0.3684210526315789,1,1,1,11,7,18,0,5,4,1,4,3,8
30,11014,69,36,0.0,11,1,2,8,0,20,0,4,2,2,4,3,9
55,18353,84,26,0.11764705882352941,3,4,1,5,2,16,0,1,2,2,2,4,8
35,19909,32,9,0.21428571428571427,0,4,1,3,3,13,0,4,2,4,1,3,8
44,5712,97,6,0.058823529411764705,6,3,5,6,1,16,0,6,3,3,3,1,7
32,16355,27,31,0.6,9,4,4,5,3,4,0,1,2,5,1,2,8
54,15261,37,1,0.0,10,2,1,12,0,5,3,9,2,3,1,3,7
50,14383,61,9,0.5714285714285714,11,3,5,7,4,6,3,6,2,5,1,2,8
45,5228,69,40,2.0,10,2,5,11,8,3,4,9,1,1,3,4,8
51,7522,19,37,0.08333333333333333,15,1,1,11,1,11,4,7,1,4,3,2,9
30,17739,97,39,0.34615384615384615,0,2,5,12,9,25,0,7,3,4,2,2,8
37,6962,40,37,0.26666666666666666,17,3,3,8,8,29,0,6,2,1,1,2,4
46,16062,79,38,0.6666666666666666,5,1,3,1,8,11,1,2,4,2,3,3,8
37,10455,24,49,0.4375,7,3,4,4,7,15,0,8,4,4,2,1,7
48,4698,88,18,0.0,0,3,4,3,0,18,1,7,4,1,1,2,4
44,14419,45,2,0.13793103448275862,6,2,4,9,4,28,4,2,1,2,1,2,5
51,17190,78,28,0.3333333333333333,15,4,1,12,3,8,1,6,4,2,1,1,4
45,16248,73,38,0.1,17,2,4,9,1,9,0,2,3,3,4,1,8
48,10381,60,36,0.3333333333333333,9,3,4,4,8,23,0,7,1,1,4,4,9
44,5001,18,46,0.8181818181818182,2,1,3,6,9,10,0,1,2,3,2,4,9
37,16294,59,19,0.15384615384615385,13,2,1,5,4,25,1,5,4,1,4,2,7
46,6006,34,5,0.12,12,3,5,10,3,24,2,3,3,4,4,4,12
40,14407,63,16,0.2608695652173913,5,3,5,4,6,22,2,1,3,1,1,4,6
49,3078,29,20,0.3333333333333333,3,4,1,7,4,11,0,1,3,5,4,1,10
44,16051,70,12,0.2,11,2,1,9,1,4,1,8,4,3,2,3,8
33,12261,59,2,0.2,19,3,2,10,2,9,0,4,3,3,1,2,6
31,6341,22,2,0.0,7,2,1,1,0,12,3,9,2,2,1,3,6
45,12730,65,25,0.4,15,2,2,8,2,4,0,7,3,3,3,3,9
54,10330,58,34,0.125,15,4,5,6,1,7,0,6,3,3,2,2,7
32,9292,53,3,0.42857142857142855,12,3,5,13,6,13,1,9,4,5,4,2,11
56,3493,82,1,0.11764705882352941,4,2,5,14,2,16,0,1,4,1,1,3,5
41,17083,49,32,0.0,18,1,4,12,0,4,2,4,3,5,1,2,8
44,17936,37,15,0.0,2,3,5,14,0,9,0,1,3,4,4,1,9
32,4876,50,42,0.6923076923076923,6,2,1,9,9,12,0,2,3,3,2,3,8
56,6232,51,39,0.13333333333333333,15,2,5,3,4,29,2,7,3,4,3,3,10
54,6539,30,20,0.12,18,4,5,5,3,24,0,3,1,5,1,3,9
55,19726,93,31,0.3,2,4,5,1,9,29,0,4,2,1,3,1,5
55,18621,55,5,0.14285714285714285,9,4,4,9,2,13,4,5,1,5,2,2,9
36,6461,83,34,0.36363636363636365,13,1,2,3,4,10,0,1,2,2,1,3,6
44,7208,69,2,0.21739130434782608,17,1,5,12,5,22,4,9,1,4,4,2,10
33,16010,37,12,0.3,5,3,4,14,3,9,0,1,3,5,3,2,10
54,6792,42,41,0.3333333333333333,5,4,5,2,9,26,0,8,4,2,4,2,8
48,18589,30,6,0.8,9,1,4,3,8,9,3,7,2,1,3,4,8
52,3178,41,4,0.21052631578947367,0,4,2,1,4,18,4,8,1,5,3,4,12
31,18067,34,13,0.5333333333333333,17,4,2,8,8,14,0,2,3,5,3,4,12
41,11531,96,18,0.25,0,3,3,3,3,11,0,3,1,4,3,2,9
52,5421,61,25,0.6666666666666666,6,1,1,9,8,11,0,3,2,3,2,4,9
41,15433,65,36,0.8,8,4,4,7,8,9,0,1,2,3,2,1,6
51,15431,86,46,0.0,14,3,4,8,0,16,4,3,1,1,1,2,4
37,14801,41,12,1.25,8,3,1,8,5,3,0,6,1,3,4,2,9
39,19880,66,18,0.25925925925925924,19,4,1,2,7,26,0,3,2,4,4,4,12
37,10856,73,3,0.8,15,4,1,6,8,9,0,7,2,3,1,4,8
47,7710,83,29,0.038461538461538464,19,2,2,8,1,25,0,9,3,4,1,1,6
50,15464,93,25,0.6,12,1,3,11,9,14,0,8,3,5,4,2,11
54,3065,38,3,0.125,2,1,5,8,1,7,0,9,3,3,3,2,8
52,10761,68,21,0.5,16,3,4,9,3,5,4,8,1,5,1,1,7
47,16597,86,33,0.2857142857142857,1,3,4,3,2,6,4,3,1,2,2,3,7
39,3631,17,18,0.0,1,3,5,1,0,26,0,1,3,2,2,2,6
48,14031,36,42,0.20833333333333334,9,3,4,6,5,23,0,9,3,2,3,3,8
38,17159,17,34,1.5,2,2,3,10,3,1,2,1,3,2,3,2,7
42,3751,50,20,0.47368421052631576,6,4,3,7,9,18,4,5,1,3,3,3,9
45,3130,16,31,0.03571428571428571,4,4,3,12,1,27,2,9,3,5,4,1,10
42,10424,63,41,0.06666666666666667,19,4,2,13,1,14,2,8,3,5,2,1,8
53,11014,66,15,1.0,4,3,1,7,6,5,1,4,4,1,3,3,7
49,16054,82,39,0.06666666666666667,14,3,2,13,2,29,1,2,4,3,4,4,11
44,9953,33,7,0.06666666666666667,4,3,4,2,1,14,0,4,4,5,4,4,13
32,14159,70,31,0.3,10,1,5,9,6,19,0,3,1,4,1,4,9
52,9650,77,1,0.23529411764705882,4,4,5,3,4,16,2,8,3,1,4,4,9
43,12263,73,26,0.1,0,4,2,4,2,19,2,2,3,1,4,1,6
49,16874,28,13,0.7142857142857143,6,1,1,6,5,6,4,5,1,4,1,4,9
47,15130,89,33,2.0,4,3,5,7,4,1,4,3,1,5,1,2,8
58,17991,78,14,1.0,9,3,2,2,9,8,0,6,1,4,2,4,10
47,18429,33,35,0.5,12,2,4,7,6,11,4,5,1,1,4,3,8
45,11023,62,13,1.0,13,1,5,5,6,5,3,6,2,3,2,4,9
44,4601,21,19,1.6,15,4,2,7,8,4,3,6,2,4,4,1,9
59,6428,85,7,0.0,8,1,4,2,0,28,0,5,1,2,4,4,10
51,6856,72,24,3.0,6,4,3,5,6,1,0,6,2,1,4,1,6
32,4007,84,28,0.4,2,4,2,13,2,4,1,2,4,4,2,4,10
54,4299,56,11,0.2857142857142857,14,2,5,7,8,27,3,9,2,4,3,4,11
58,13840,32,23,0.3333333333333333,16,4,2,9,7,20,4,3,1,4,1,1,6
51,10804,97,28,0.17857142857142858,15,2,2,6,5,27,2,8,3,2,4,1,7
47,7341,69,24,0.125,6,1,4,2,3,23,0,4,1,1,1,2,4
51,16744,62,41,0.4444444444444444,18,4,4,11,8,17,2,3,3,5,4,4,13
34,4184,77,39,0.5384615384615384,0,1,5,8,7,12,4,6,1,4,2,4,10
33,16750,18,3,0.0,0,4,4,6,0,24,0,4,3,3,2,1,6
59,16950,31,12,0.6428571428571429,18,2,1,9,9,13,2,1,3,3,4,1,8
30,12452,73,32,0.5333333333333333,11,3,2,10,8,14,3,7,2,4,4,4,12
57,8240,87,11,0.8,7,3,4,7,4,4,1,6,4,4,2,3,9
51,12264,44,35,0.2916666666666667,14,4,2,14,7,23,0,2,4,2,2,2,6
43,13292,82,18,2.5,9,1,3,6,5,1,1,3,4,2,4,2,8
41,13388,70,19,0.5,4,4,2,8,6,11,1,6,4,5,2,3,10
54,5348,47,45,0.15789473684210525,1,4,5,2,3,18,0,7,1,1,2,1,4
36,4050,44,18,0.42857142857142855,11,3,3,11,9,20,1,5,4,2,1,4,7
30,4821,82,21,0.875,9,4,1,14,7,7,0,9,1,3,1,3,7
40,18231,68,7,0.5384615384615384,8,2,1,14,7,12,0,9,2,4,2,3,9
45,16109,50,14,0.25,10,1,5,8,7,27,1,4,4,1,4,2,7
43,4482,98,45,0.14285714285714285,6,2,5,13,1,6,4,1,1,2,4,4,10
42,3247,17,6,0.7142857142857143,16,3,4,10,5,6,3,7,2,4,1,4,9
36,10105,95,38,0.4666666666666667,17,3,2,4,7,14,1,1,4,3,3,3,9
50,4281,51,22,0.1,1,4,4,5,3,29,4,3,1,2,3,1,6
57,10803,50,38,0.6153846153846154,9,4,3,14,8,12,0,2,4,1,2,3,6
52,13978,16,18,0.2222222222222222,14,4,2,5,4,17,4,3,1,2,3,1,6
39,19465,95,46,0.17647058823529413,3,1,5,11,3,16,0,2,3,1,3,3,7
50,7740,69,49,0.19230769230769232,1,4,5,8,5,25,0,7,4,1,1,4,6
56,3892,32,24,0.36,19,3,5,10,9,24,0,3,3,5,4,2,11
43,14165,79,45,0.27586206896551724,7,3,1,2,8,28,3,2,2,1,3,3,7
44,7326,64,28,0.0,11,3,2,12,0,18,0,3,1,4,2,1,7
49,16004,74,45,0.13636363636363635,3,1,1,12,3,21,4,2,1,5,3,1,9
37,14312,92,11,0.21739130434782608,11,1,5,14,5,22,4,9,1,1,3,1,5
58,17867,33,47,4.0,8,4,2,8,8,1,0,8,2,3,1,2,6
38,12401,32,10,1.1428571428571428,13,2,1,6,8,6,2,1,3,3,3,3,9
54,16525,93,10,0.25,10,1,3,5,4,15,2,8,3,4,4,3,11
31,18761,48,28,0.8571428571428571,0,3,4,6,6,6,2,4,3,3,1,3,7
42,7349,68,18,0.17857142857142858,16,1,5,12,5,27,0,1,4,2,4,1,7
44,19650,78,35,0.0,11,3,1,11,0,3,4,3,1,2,3,2,7
39,16714,76,30,0.13333333333333333,0,4,1,14,4,29,4,9,1,2,3,2,7
50,18495,42,29,0.0,1,2,1,3,0,23,2,6,3,3,4,2,9
41,7309,60,38,0.19230769230769232,12,2,1,3,5,25,1,5,4,5,2,2,9
43,11958,74,41,0.03571428571428571,19,2,4,2,1,27,2,4,3,4,2,2,8
50,16654,93,23,4.5,6,2,2,3,9,1,1,8,4,2,1,1,4
38,19643,92,11,0.19047619047619047,4,4,1,1,4,20,0,8,3,4,2,2,8
47,8492,92,22,0.45454545454545453,13,2,2,14,5,10,0,8,1,5,1,4,10
43,6657,29,11,0.2727272727272727,10,3,2,3,6,21,2,5,3,2,1,1,4
53,16138,39,24,0.375,4,3,3,2,6,15,4,2,1,2,3,1,6
41,5260,80,31,0.047619047619047616,1,2,1,4,1,20,4,1,1,3,1,2,6
47,5374,44,4,0.375,3,2,2,12,3,7,3,4,2,2,2,3,7
33,13179,71,20,0.75,9,1,1,10,6,7,0,6,4,2,3,4,9
56,9635,70,26,0.19230769230769232,8,2,3,3,5,25,4,8,1,2,2,1,5
48,19013,73,7,0.6,8,4,3,12,6,9,0,7,2,1,1,1,3
57,4144,74,16,0.04,5,3,5,2,1,24,0,9,3,4,3,3,10
34,7370,40,34,0.25,2,1,1,11,7,27,0,5,4,5,4,2,11
34,18447,30,31,0.3684210526315789,0,1,4,5,7,18,0,3,4,2,4,4,10
44,18389,85,25,0.5384615384615384,1,4,2,3,7,12,1,3,4,2,4,1,7
37,18696,75,15,0.0,16,4,3,6,0,26,0,9,4,4,4,4,12
55,7752,87,4,1.0,10,2,1,7,6,5,0,8,1,3,4,2,9
59,5419,79,11,0.5,4,3,3,10,8,15,0,8,4,1,2,3,6
55,17236,60,26,0.625,6,3,5,3,5,7,2,2,3,5,1,3,9
41,16654,35,49,0.16666666666666666,14,2,4,4,4,23,0,1,4,2,4,3,9
47,9147,32,11,0.35294117647058826,11,4,4,13,6,16,0,4,1,5,2,2,9
42,16217,29,34,0.24,13,2,3,1,6,24,0,4,1,3,3,3,9
40,13788,83,1,0.4,19,1,1,12,8,19,0,6,2,1,2,3,6
44,7822,66,26,0.1,4,2,3,10,1,9,0,3,4,2,3,2,7
41,5554,29,41,0.2222222222222222,6,1,4,7,6,26,2,1,3,4,4,1,9
38,9607,26,39,0.10526315789473684,16,4,2,6,2,18,0,6,3,4,3,2,9
35,5937,18,8,0.3333333333333333,5,2,2,2,3,8,0,3,2,3,4,2,9
38,16047,56,31,0.20689655172413793,7,1,2,9,6,28,0,4,3,2,2,2,6
55,13292,17,28,0.25,17,2,3,2,1,3,0,9,4,4,1,3,8
53,9332,48,45,0.5714285714285714,0,2,3,8,8,13,2,6,3,4,1,4,9
50,16155,71,16,0.27586206896551724,14,1,1,11,8,28,0,9,3,2,3,4,9
54,19673,90,40,0.1111111111111111,14,1,4,5,2,17,2,1,3,3,3,3,9
30,5276,28,49,0.21052631578947367,10,4,4,6,4,18,2,8,3,5,2,4,11
55,9868,36,12,1.0,18,2,2,5,2,1,0,2,2,3,2,4,9
58,8508,74,35,0.11764705882352941,6,1,1,1,2,16,0,1,4,3,4,4,11
37,9402,27,19,0.34615384615384615,3,1,3,14,9,25,2,5,3,3,4,2,9
35,16992,32,14,0.38095238095238093,16,1,5,5,8,20,3,3,2,5,3,4,12
40,11994,96,4,0.23333333333333334,1,4,1,5,7,29,2,9,3,3,2,1,6
55,12253,78,22,0.36,19,1,5,12,9,24,1,9,4,5,2,1,8
37,8436,48,28,0.36363636363636365,17,4,5,1,8,21,0,9,3,1,2,3,6
50,13186,67,34,0.18181818181818182,7,4,4,11,4,21,4,9,1,2,2,4,8
57,4274,94,46,1.0,11,3,5,10,6,5,2,8,3,5,4,4,13
45,16717,60,29,1.75,5,2,3,3,7,3,2,9,3,3,3,4,10
52,3999,85,16,1.125,6,1,2,12,9,7,4,7,1,3,1,4,8
43,7963,69,47,0.0,10,1,1,2,0,29,1,8,4,4,1,2,7
38,5809,23,19,0.6666666666666666,14,2,4,13,2,2,2,1,3,5,3,2,10
58,16871,81,11,0.19230769230769232,18,4,2,6,5,25,3,2,2,3,2,3,8
43,15629,41,18,1.2,9,4,4,11,6,4,0,9,4,2,1,2,5
39,12574,98,6,0.3333333333333333,13,4,2,8,6,17,0,2,3,1,1,2,4
42,10681,27,40,0.8571428571428571,11,1,5,6,6,6,0,6,1,1,3,1,5
49,16651,59,37,0.0,17,3,2,3,0,18,3,9,2,4,3,1,8
58,18957,45,28,0.2,9,1,1,3,1,4,1,5,4,4,2,4,10
56,7572,35,48,0.3,7,3,5,12,6,19,0,1,2,2,1,4,7
35,7542,49,13,0.8888888888888888,12,1,3,13,8,8,4,2,1,2,4,3,9
44,17733,33,15,0.13043478260869565,4,3,4,1,3,22,0,9,4,5,1,2,8
55,5145,88,13,0.4666666666666667,14,2,3,1,7,14,0,2,3,1,2,1,4
30,17271,82,7,1.0,6,4,2,12,4,3,4,4,1,5,1,4,10
53,7233,79,11,2.5,7,1,3,12,5,1,0,6,3,1,4,1,6
59,8521,28,8,0.3333333333333333,10,4,2,13,9,26,0,2,1,5,4,1,10
57,4442,93,40,0.07692307692307693,9,4,3,6,2,25,0,6,2,1,4,2,7
40,11759,92,46,1.3333333333333333,6,1,1,6,8,5,0,7,3,3,2,3,8
33,9355,66,26,0.0,8,2,3,7,0,5,0,8,1,1,2,1,4
52,16492,65,26,0.3,1,4,3,6,9,29,2,8,3,5,3,3,11
41,13651,70,9,0.45,5,3,4,14,9,19,3,7,2,4,3,3,10
46,9121,93,7,0.06666666666666667,18,2,3,7,1,14,3,1,2,1,3,2,6
37,19436,38,36,0.3157894736842105,3,4,3,14,6,18,3,3,2,2,4,4,10
35,15381,37,33,0.16666666666666666,10,4,2,13,1,5,4,4,1,5,2,4,11
38,5312,26,30,0.42105263157894735,13,3,1,11,8,18,2,1,3,1,1,1,3
39,17466,57,39,0.42857142857142855,19,4,4,10,9,20,4,2,1,4,3,3,10
50,6012,44,34,0.30434782608695654,12,1,1,3,7,22,0,5,4,3,2,2,7
53,8543,91,3,0.4117647058823529,13,2,5,3,7,16,0,6,3,4,3,4,11
36,18260,77,35,0.0,13,3,5,7,0,25,3,3,2,2,3,3,8
57,19041,98,4,0.17857142857142858,8,3,1,13,5,27,2,3,3,4,1,1,6
47,4546,88,43,0.6666666666666666,16,3,3,4,6,8,1,5,4,4,2,4,10
51,12809,80,11,0.3,7,2,3,6,9,29,0,6,1,1,1,1,3
33,4716,66,33,0.09523809523809523,4,4,4,11,2,20,0,6,3,1,1,4,6
52,12256,62,43,0.0,6,1,1,6,0,22,3,9,2,4,3,3,10
42,7534,87,45,0.4117647058823529,7,1,2,3,7,16,1,9,4,1,3,4,8
34,12571,17,32,0.2916666666666667,5,4,5,12,7,23,4,3,1,3,1,4,8
32,16054,41,4,0.4090909090909091,14,2,4,4,9,21,2,3,3,5,4,4,13
48,12536,69,9,0.3157894736842105,10,3,2,5,6,18,3,7,2,5,4,1,10
46,13785,76,26,0.19230769230769232,3,3,1,13,5,25,4,7,1,1,4,2,7
30,11184,49,34,0.6666666666666666,19,2,1,6,8,11,1,4,4,2,4,3,9
58,13464,94,13,0.2,5,2,5,11,1,4,3,9,2,1,4,2,7
40,13423,93,40,0.043478260869565216,12,2,2,6,1,22,0,2,3,2,1,3,6
36,7371,49,23,0.26666666666666666,7,1,1,7,8,29,0,9,1,4,3,1,8
35,5549,22,13,1.0,0,3,3,5,7,6,0,1,2,1,4,4,9
52,17271,38,18,0.0,18,2,5,2,0,21,4,5,1,3,4,2,9
47,13519,46,16,0.5,5,4,5,7,1,1,0,7,4,4,1,3,8
34,3170,48,10,0.29411764705882354,10,3,1,5,5,16,1,6,4,3,3,3,9
49,9418,23,17,0.28,5,4,4,3,7,24,0,8,4,1,2,2,5
48,7111,39,16,0.23076923076923078,16,4,3,11,3,12,3,3,2,4,1,2,7
41,14487,40,36,0.2,19,2,4,11,2,9,3,2,2,1,3,4,8
47,18503,34,48,0.8888888888888888,18,1,5,1,8,8,2,8,3,1,3,1,5
56,16891,68,28,0.2222222222222222,18,2,3,12,4,17,2,1,3,5,1,1,7
53,3111,56,45,0.3,13,4,2,13,9,29,1,5,4,1,3,1,5
59,7496,63,20,1.25,3,3,2,2,5,3,0,8,3,3,2,3,8
31,15775,99,27,0.5,2,4,2,9,9,17,1,9,4,2,2,3,7
47,19819,15,19,0.32142857142857145,13,4,3,3,9,27,4,7,1,3,1,3,7
52,4311,91,15,1.5,19,4,3,6,6,3,0,1,2,2,3,4,9
35,8617,96,44,0.42857142857142855,6,3,4,8,9,20,0,8,3,2,2,4,8
43,3335,29,16,0.15789473684210525,4,4,3,1,3,18,3,4,2,3,1,2,6
33,17226,15,25,0.21428571428571427,14,1,3,1,6,27,0,4,3,5,2,3,10
54,3960,27,48,0.38461538461538464,8,1,1,11,5,12,3,6,2,2,2,2,6
46,6465,17,45,0.2777777777777778,7,1,2,9,5,17,3,7,2,4,4,1,9
42,14629,26,24,0.0,15,4,4,8,0,21,0,3,4,4,4,1,9
32,10035,76,15,0.17391304347826086,14,4,3,14,4,22,3,9,2,2,1,1,4
49,14072,72,1,0.23076923076923078,0,1,1,14,6,25,2,6,3,1,4,3,8
37,12964,52,30,0.0,17,3,2,5,0,29,4,5,1,2,1,1,4
42,15715,97,10,0.391304347826087,9,3,2,6,9,22,3,4,2,3,3,4,10
34,7946,72,28,0.10526315789473684,1,2,5,3,2,18,0,8,1,5,3,4,12
44,16141,52,43,0.32,9,1,2,4,8,24,0,4,4,2,1,3,6
46,9953,82,12,0.0,4,4,2,13,0,22,0,5,1,4,3,3,10
41,18030,28,23,0.625,10,3,4,5,5,7,3,4,2,4,1,1,6
38,14364,98,42,0.2,6,1,5,6,6,29,3,5,2,1,2,2,5
49,3037,59,3,0.19047619047619047,4,3,4,11,4,20,0,1,3,5,1,2,8
46,12196,75,39,0.0,11,2,4,12,0,4,0,1,2,1,2,4,7
37,15096,88,46,0.1724137931034483,5,4,3,10,5,28,0,8,3,5,4,3,12
34,4699,48,42,0.041666666666666664,5,3,4,11,1,23,2,2,3,5,1,2,8
